Ra,Dec,FluxInMCrab,FluxErr,Sign.
192.39,-59.09,300,0.1,30
193.05,-13.415,87,0.18,4.83
194.03,-5.779,87,0.13,6.69
194.39,-69.296,201,0.12,16.75
194.87,27.938,155,0.14,11.07
195.32,-61.602,138,0.09,15.33
195.5,-63.969,179,0.09,19.89
195.7,-63.836,82,0.09,9.11
196.05,-5.574,67,0.14,4.79
196.1,-10.336,111,0.17,6.53
196.36,-49.47,1289,0.13,99.15
196.61,-40.423,158,0.15,10.53
197.27,11.619,209,0.19,11
197.69,-55.865,129,0.1,12.9
198.74,44.389,107,0.2,5.35
199.21,-71.951,59,0.12,4.92
199.65,-62.947,81,0.09,9
200.6,-16.728,174,0.33,5.27
201.36,-43.019,4450,0.13,342.31
201.64,-62.136,866,0.09,96.22
202.27,-63.392,226,0.35,6.46
203.33,-34.03,111,0.15,7.4
203.99,-34.288,270,0.15,18
204.56,4.528,466,0.16,29.12
205.42,30.395,120,0.2,6
206.67,19.36,112,0.21,5.33
206.89,-60.615,409,0.09,45.44
207.33,-30.309,1255,0.17,73.82
208.57,-37.779,63,0.12,5.25
210.2,-63.414,83,0.09,9.22
213.29,-65.342,1174,0.09,130.44
213.31,-3.22,1027,0.22,46.68
214.3,-46.671,79,0.11,7.18
214.54,25.155,193,0.32,6.03
214.88,-26.633,172,0.21,8.19
215.3,-62.698,78,0.09,8.67
217.07,42.66,152,0.24,6.33
217.39,-67.251,82,0.1,8.2
218.17,-44.174,71,0.11,6.45
218.27,-61.221,64,0.09,7.11
220.6,-17.253,307,0.35,8.77
221.53,-64.284,62,0.1,6.2
221.83,-63.289,54,0.09,6
222.2,-40.152,60,0.11,5.45
222.31,-55.589,103,0.1,10.3
222.89,-55.691,113,0.1,11.3
223.42,-55.363,88,0.1,8.8
223.85,-51.571,89,0.1,8.9
224.06,-37.632,80,0.11,7.27
224.43,-43.125,148,0.11,13.45
226.01,10.438,215,0.31,6.94
227.38,-66.816,119,0.11,10.82
228.48,-59.145,886,0.09,98.44
228.57,-81.415,99,0.2,4.95
230.17,-57.168,540,0.09,60
234.01,-57.806,95,0.09,10.56
235.35,-50.512,61,0.09,6.78
235.6,-52.385,1638,0.09,182
236.01,-56.748,1047,0.79,13.25
236.96,-62.578,220,0.11,20
237.05,-45.472,422,0.1,42.2
237.1,-13.758,218,0.17,12.82
237.75,-56.474,22953,0.32,717.28
238.23,-50.49,43,0.08,5.38
238.47,-61.676,55,0.11,5
238.69,-37.604,70,0.13,5.38
240.36,-60.716,83,0.11,7.55
241.47,-72.9,119,0.16,7.44
242.98,-60.637,117,0.11,10.64
243.18,-52.425,1517,0.08,189.62
244.16,-49.975,147,0.08,18.38
244.36,-50.972,41,0.08,5.12
244.63,-59.468,87,0.11,7.91
244.87,-28.151,226,0.19,11.89
244.89,-49.755,166,0.08,20.75
244.98,-15.637,79866,0.14,5704.7
245.19,-51.505,274,0.08,34.25
246.66,-51.938,1221,0.93,13.13
247,-49.209,356,0.08,44.5
247.03,-48.652,76,0.08,9.5
247.18,-50.343,60,0.08,7.5
247.31,-46.076,41,0.08,5.12
247.95,-48.819,2463,0.08,307.88
248.01,-47.876,1423,0.08,177.88
248.08,-67.466,1443,0.17,84.88
248.4,-47.559,705,0.08,88.12
248.5,-47.391,2208,0.08,276
248.79,-58.088,98,0.11,8.91
248.99,-47.407,1369,0.58,23.6
249.57,-64.347,109,0.15,7.27
249.63,-20.92,81,0.14,5.79
249.77,-46.707,387,0.08,48.38
250.23,-53.751,2691,0.09,299
250.47,-45.534,366,0.08,45.75
251.45,-45.616,2886,0.09,320.67
251.65,-45.118,464,0.34,13.65
252.01,-45.207,362,0.09,40.22
252.06,-30.591,218,0.1,21.8
252.36,-43.819,181,0.09,20.11
252.49,-33.113,123,0.09,13.67
253.12,-59.215,111,0.12,9.25
253.31,2.429,293,0.22,13.32
253.46,39.751,452,0.22,20.55
253.5,-39.844,1087,0.09,120.78
253.68,-19.275,74,0.12,6.17
254.03,-52.078,168,0.09,18.67
254.07,-33.045,151,0.08,18.88
254.46,35.343,8255,0.2,412.75
255.08,-42.335,138,0.09,15.33
255.2,-41.656,6544,0.09,727.11
255.23,-46.197,406,0.09,45.11
255.25,35.99,115,0.21,5.48
255.71,-48.792,4859,0.09,539.89
255.91,37.57,109,0.21,5.19
255.98,-37.842,20940,0.08,2617.5
256.43,-36.421,4235,0.08,529.38
256.56,-61.715,120,0.16,7.5
256.57,-43.037,1584,0.09,176
257.21,-40.142,109,0.08,13.62
257.22,-32.322,190,0.07,27.14
257.23,-44.102,1946,0.09,216.22
257.31,-36.408,434,0.07,62
257.39,-26.658,1336,0.5,26.72
257.44,-36.46,1933,0.3,64.43
257.55,-28.128,249,0.07,35.57
257.99,-39.862,40,0.08,5
258.11,-23.347,370,0.08,46.25
258.12,-40.858,74,0.08,9.25
258.15,-24.244,251,0.07,35.86
258.15,-37.645,413,0.07,59
259,-38.879,151,0.27,5.59
259.24,-62.83,358,0.18,19.89
259.91,-41.023,197,0.08,24.62
259.93,-30.18,35,0.06,5.83
259.99,-31.753,2342,0.34,68.88
260.02,-31.294,167,0.06,27.83
260.09,-35.9,57,0.07,8.14
260.85,-28.62,57,0.06,9.5
261.3,-36.282,772,0.07,110.29
261.35,-32.953,152,0.06,25.33
261.68,-47.647,1255,1.4,8.96
261.89,-30.804,1899,0.06,316.5
262.16,-29.37,354,0.35,10.11
262.58,-5.971,297,0.15,19.8
262.93,-16.952,1094,0.09,121.56
262.99,-33.833,4349,0.06,724.83
263,-19.195,86,0.08,10.75
263.01,-24.747,5638,0.06,939.67
263.29,-24.142,41,0.06,6.83
263.35,-33.387,350,0.06,58.33
263.74,-20.754,64,0.07,9.14
263.83,-35.663,77,0.06,12.83
263.85,-32.934,101,0.06,16.83
264.37,-29.139,515,0.05,103
264.46,-37.774,779,0.95,8.2
264.57,-26.991,1081,0.05,216.2
264.75,-44.453,2289,0.11,208.09
264.81,-30.355,94,0.05,18.8
264.9,-29.736,335,0.3,11.17
264.98,-28.496,150,0.05,30
265.09,-36.936,70,0.07,10
265.17,-28.313,391,0.05,78.2
265.18,-28.133,148,0.05,29.6
265.48,-12.188,157,0.11,14.27
265.49,-28.031,446,0.32,13.94
265.7,-30.301,28,0.05,5.6
265.75,-36.377,211,0.06,35.17
265.98,-29.748,3114,0.05,622.8
266.08,-27.772,269,0.23,11.7
266.19,-32.528,39,0.05,7.8
266.24,-29.337,421,0.05,84.2
266.25,-28.917,304,0.05,60.8
266.4,-29.026,570,0.05,114
266.5,-28.914,585,0.05,117
266.52,-29.508,1329,0.05,265.8
266.56,-32.237,1570,0.05,314
266.58,-28.735,477,0.05,95.4
266.76,-28.883,332,0.05,66.4
266.82,-28.18,157,0.05,31.4
266.83,-30.01,725,0.05,145
266.84,-27.352,6383,0.4,159.57
266.86,-28.364,226,0.05,45.2
266.9,-22.862,93,0.06,15.5
266.98,-26.563,1107,0.05,221.4
267.05,-36.133,1188,0.42,28.29
267.22,-20.359,1067,0.47,22.7
267.22,-32.907,106,0.05,21.2
267.27,-27.55,119,0.05,23.8
267.29,-27.421,100,0.05,20
267.3,-26.647,123,0.05,24.6
267.42,-28.36,266,0.05,53.2
267.48,-33.201,639,0.19,33.63
267.55,-37.046,219,0.07,31.29
267.6,-29.038,3564,0.78,45.69
267.64,-26.744,57,0.05,11.4
267.68,-28.909,247,0.34,7.26
267.69,-31.284,121,0.05,24.2
267.82,-30.616,738,0.55,13.42
267.82,-20.184,95,0.07,13.57
268.36,-1.452,6128,0.12,510.67
268.5,-28.026,32,0.05,6.4
268.62,-26.325,68,0.05,13.6
269.64,-30.956,56,0.05,11.2
269.66,-21.327,95,0.06,15.83
269.95,-22.026,395,0.06,65.83
270.17,8.19,93,0.19,4.89
270.28,-25.075,4846,0.06,807.67
270.3,-25.743,5698,0.05,1139.6
270.38,-20.527,1597,0.07,228.14
270.67,-20.283,421,0.07,60.14
270.69,-14.91,167,0.09,18.56
271.18,-14.925,67,0.09,7.44
271.77,-29.43,636,0.28,22.71
272.16,-20.404,262,0.07,37.43
272.58,-19.07,3060,0.7,43.71
272.69,-26.15,2510,0.23,109.13
272.86,-19.423,74,0.07,10.57
273.37,-16.65,63,0.08,7.88
273.4,-17.858,105,0.08,13.12
273.63,-17.155,1128,0.08,141
273.78,-12.094,2664,0.09,296
273.79,-10.88,45,0.09,5
274.01,-14.035,5403,0.09,600.33
274.06,49.89,527,0.83,6.35
274.3,-25.142,80,0.06,13.33
274.4,-15.47,41,0.09,4.56
274.43,-33.02,3376,0.18,187.56
274.6,-24.546,271,0.06,45.17
274.7,-17.033,131,0.08,16.38
275.11,-14.564,129,0.09,14.33
275.34,-13.299,142,0.09,15.78
275.47,64.363,93,0.18,5.17
275.5,-13.79,50,0.09,5.56
275.92,-30.362,3268,0.07,466.86
276.08,-56.369,250,0.22,11.36
276.11,-14.44,68,0.09,7.56
276.21,-32.738,66,0.07,9.43
276.31,0.007,149,0.1,14.9
276.43,-10.585,58,0.09,6.44
276.45,-37.106,2584,0.09,287.11
276.48,-7.145,79,0.1,7.9
276.55,-14.861,64,0.09,7.11
277.34,-12.22,52,0.09,5.78
277.37,-23.798,7852,0.08,981.5
277.66,-10.049,68,0.09,7.56
277.7,-12.53,80,0.09,8.89
278.11,-7.938,640,0.27,23.7
278.39,-10.572,291,0.09,32.33
278.42,-21.068,223,0.09,24.78
278.85,-24.29,41,0.08,5.12
278.93,-32.99,926,0.08,115.75
279.5,-6.911,195,0.1,19.5
279.63,-65.422,477,0.26,18.35
279.99,5.041,1060,0.09,117.78
280.26,-5.577,94,0.09,10.44
280.33,-4.938,264,0.09,29.33
280.58,79.763,356,0.22,16.18
281.23,-62.365,214,0.23,9.3
281.25,-4.574,146,0.09,16.22
281.4,0.868,323,0.08,40.38
281.57,-2.387,2389,2.04,11.71
281.61,-2.983,162,0.09,18
281.76,-78.533,99,0.2,4.95
282.05,-2.426,966,0.92,10.5
282.07,-3.172,411,0.09,45.67
282.1,-0.787,95,0.08,11.88
282.26,-0.013,114,0.08,14.25
283.26,-8.702,528,0.1,52.8
283.5,7.488,1758,0.6,29.3
283.76,-78.877,116,0.2,5.8
283.76,-31.155,646,0.13,49.69
283.87,-2.601,1034,0.09,114.89
283.99,15.629,138,0.1,13.8
284.35,-78.491,177,0.2,8.85
284.47,-34.096,412,0.56,7.36
284.67,3.437,5268,0.22,239.45
285.04,-24.917,1705,0.13,131.15
285.42,1.447,228,0.08,28.5
285.92,3.207,8054,0.17,473.76
286.82,-20.77,80,0.14,5.71
286.84,9.322,91,0.07,13
286.89,-39.38,80,0.14,5.71
287.22,9.374,65,0.07,9.29
287.41,9.833,1336,0.07,190.86
287.64,9.312,35,0.07,5
287.7,7.595,1268,0.07,181.14
287.81,0.584,879,0.08,109.87
287.96,4.979,812,0.07,116
288.53,9.885,893,0.07,127.57
288.8,10.947,27181,0.08,3397.6
289.69,-5.247,832,0.11,75.64
289.82,7.908,36,0.07,5.14
289.86,-29.95,97,0.15,6.47
290.31,-58.671,251,0.26,9.65
290.62,-17.3,478,0.58,8.24
